rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
7,shat,6,1,5,5,1.0,"1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9","[(0,), (4,), (0, 4), (1, 4), (2, 4), (0, 2, 4), (1, 2, 4), (0, 1, 2, 4), (1, 2, 3, 4), (1, 2, 4, 7), (0, 1, 2, 4, 7), (2, 3, 4, 5, 9), (0, 2, 3, 4, 5, 9), (1, 2, 3, 4, 5, 9), (0, 1, 2, 3, 4, 5, 9), (0, 1, 2, 3, 4, 5, 6, 9), (0, 1, 2, 3, 4, 5, 7, 8, 9), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0.026963794050881108, 0.28090010184771586, 0.15899527179374037, 0.4979837118020509, 0.313983261416198, 0.4173302271297455, 0.6635275456056264, 0.7117614635443472, 0.6872199385041469, 0.6123949507277977, 0.6969568545571616, 0.34252660603297647, 0.3536616566733149, 0.16578164138884335, 0.2646294049280473, 0.09572114512624462, 0.010638129954210597, 0.010662982161028655]"
7,sgreedy,6,1,5,4,0.8,"1,2,3,5,8","0,1,2,4,7","[(4,), (2, 4), (1, 2, 4), (1, 2, 4, 7), (0, 1, 2, 4, 7), (0, 1, 2, 3, 4, 7), (0, 1, 2, 4, 7)]","[0.28090010184771586, 0.313983261416198, 0.6635275456056264, 0.6123949507277977, 0.6969568545571616, 0.4684080106395244, 0.6969568545571616]"
7,shat,6,2,4,4,1.0,"2,3,4,5,6,7,10","0,1,2,3,4,5,8","[(3,), (0, 3), (1, 3), (0, 1, 3), (0, 1, 2, 3), (0, 1, 3, 6), (0, 1, 2, 3, 6), (1, 2, 3, 4, 8), (0, 1, 2, 3, 4, 8), (0, 1, 2, 3, 4, 5, 8)]","[0.28090010184771586, 0.4979837118020509, 0.313983261416198, 0.6635275456056264, 0.6872199385041469, 0.6123949507277977, 0.42722778641148285, 0.34252660603297647, 0.16578164138884335, 0.05139793155470243]"
7,sgreedy,6,2,4,3,0.75,"2,3,5,8","0,1,3,6","[(3,), (1, 3), (0, 1, 3), (0, 1, 3, 6), (0, 1, 2, 3, 6), (0, 1, 3, 6)]","[0.28090010184771586, 0.313983261416198, 0.6635275456056264, 0.6123949507277977, 0.42722778641148285, 0.6123949507277977]"
7,shat,6,3,3,3,1.0,"3,4,5,6,8,9,10","0,1,2,3,5,6,7","[(2,), (0, 2), (0, 1, 2), (0, 2, 5), (0, 1, 2, 5), (0, 1, 2, 3, 7), (0, 1, 2, 3, 4, 7), (0, 1, 2, 3, 6, 7), (0, 1, 2, 3, 4, 6, 7), (0, 1, 2, 3, 5, 6, 7)]","[0.28090010184771586, 0.313983261416198, 0.42038932183683886, 0.45608266187474433, 0.267759018877463, 0.34252660603297647, 0.3137893705982908, 0.2596056315883403, 0.19732384706419862, 0.2896973840991851]"
7,sgreedy,6,3,3,2,0.6666666666666666,"3,5,8","0,2,5","[(2,), (0, 2), (0, 2, 5), (0, 1, 2, 5), (0, 2, 5)]","[0.28090010184771586, 0.313983261416198, 0.45608266187474433, 0.267759018877463, 0.45608266187474433]"
7,shat,6,4,2,1,0.5,"5,10","1,6","[(1,), (0, 1), (1, 4), (1, 6)]","[0.28090010184771586, 0.1805861183122374, 0.08673164155625837, 0.3603339742666726]"
7,sgreedy,6,4,2,1,0.5,5,1,"[(1,), (1, 6), (1,)]","[0.28090010184771586, 0.3603339742666726, 0.28090010184771586]"
7,shat,6,5,1,1,1.0,"5,10","0,5","[(0,), (0, 3), (0, 5)]","[0.28090010184771586, 0.08673164155625837, 0.3603339742666726]"
7,sgreedy,6,5,1,1,1.0,5,0,"[(0,), (0, 5), (0,)]","[0.28090010184771586, 0.3603339742666726, 0.28090010184771586]"
7,shat,6,6,0,0,0.0,"6,7,8,9","0,1,2,3","[(0, 1, 2, 3)]",[]
7,sgreedy,6,6,0,0,0.0,"6,7,8,9","0,1,2,3","[(0, 1, 2, 3)]",[2.8148504633169284e-11]
8,shat,6,0,6,6,1.0,"0,1,2,3,4,5,6","0,1,2,3,4,5,6","[(0, 1, 3), (0, 1, 2, 3), (0, 1, 3, 10), (0, 3, 4, 6), (2, 3, 4, 6), (3, 4, 5, 6), (0, 3, 4, 5, 6), (1, 3, 4, 5, 6), (0, 1, 3, 4, 5, 6), (0, 1, 2, 3, 4, 5, 6)]","[0.5015579777007546, 0.7403777428777982, 0.16942159611286553, 0.06365899876817763, 0.13700483835510435, 0.5156847625791979, 0.6046373421768494, 0.35365080567933505, 0.4231504906005857, 0.30929929229550246]"
8,sgreedy,6,0,6,2,0.3333333333333333,"1,5,8","1,5,8","[(1, 5, 8)]",[3.0533382941440026e-06]
8,shat,6,1,5,5,1.0,"1,2,3,4,5,6","0,1,2,3,4,5","[(1, 2, 3, 5), (2, 3, 4, 5), (0, 2, 3, 4, 5), (0, 1, 2, 3, 4, 5)]","[0.13700483835510435, 0.5156847625791979, 0.35365080567933505, 0.2251738363716804]"
8,sgreedy,6,1,5,2,0.4,"1,5,8","0,4,7","[(0, 4, 7)]",[3.0533382941440026e-06]
8,shat,6,2,4,4,1.0,"2,3,4,5,6","0,1,2,3,4","[(0, 1, 2, 4), (1, 2, 3, 4), (0, 1, 2, 3, 4)]","[0.13700483835510435, 0.5156847625791979, 0.3987640731111157]"
8,sgreedy,6,2,4,1,0.25,"2,6,8,9,10","0,4,6,7,8","[(0, 4, 6, 7, 8), (0, 2, 4, 6, 7, 8), (0, 4, 6, 7, 8)]","[0.04288977494205896, 0.022725507291711387, 0.04288977494205896]"
8,shat,6,3,3,3,1.0,"3,4,5,6","0,1,2,3","[(0, 1, 2, 3)]",[0.5156847625791979]
8,sgreedy,6,3,3,1,0.3333333333333333,"5,6,8,9,10","2,3,5,6,7","[(2, 3, 5, 6, 7)]",[1.1938936582929992e-12]
8,shat,6,4,2,1,0.5,"5,6,8,9,10","1,2,4,5,6","[(1, 2, 4, 5, 6)]",[]
8,sgreedy,6,4,2,1,0.5,"5,6,8,9,10","1,2,4,5,6","[(1, 2, 4, 5, 6)]",[1.1938936582929992e-12]
8,shat,6,5,1,1,1.0,"5,6,8,9,10","0,1,3,4,5","[(0, 1, 3, 4, 5)]",[]
8,sgreedy,6,5,1,1,1.0,"5,6,8,9,10","0,1,3,4,5","[(0, 1, 3, 4, 5)]",[1.1938936582929992e-12]
8,shat,6,6,0,0,0.0,"8,9,10","2,3,4","[(2, 3, 4)]",[]
8,sgreedy,6,6,0,0,0.0,"8,9,10","2,3,4","[(2, 3, 4)]",[1.2436643510273307e-14]
9,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5","[(0, 1, 5), (0, 4, 5), (0, 1, 3, 5), (0, 1, 4, 5), (0, 3, 4, 5), (0, 1, 3, 4, 5), (0, 1, 2, 3, 4, 5)]","[0.18561077295402134, 0.06640045579796545, 0.2205419847019104, 0.1335721559331891, 0.12297389142071714, 0.059476239812142465, 0.08368799623205911]"
9,sgreedy,6,0,6,3,0.5,"1,3,4,11","1,3,4,11","[(1, 3, 4, 11)]",[0.00038078809083145224]
9,shat,6,1,5,3,0.6,"1,3,4,11","0,2,3,10","[(0, 2, 3, 10)]",[]
9,sgreedy,6,1,5,3,0.6,"1,3,4,11","0,2,3,10","[(0, 2, 3, 10)]",[0.00038078809083145224]
9,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3","[(0, 1, 2, 3)]",[]
9,sgreedy,6,2,4,3,0.75,"2,3,4,11","0,1,2,9","[(0, 1, 2, 9)]",[0.00017820845896233432]
9,shat,6,3,3,2,0.6666666666666666,"3,4,11","0,1,8","[(0, 1, 8)]",[]
9,sgreedy,6,3,3,2,0.6666666666666666,"3,4,11","0,1,8","[(0, 1, 8)]",[0.00011936956908220782]
9,shat,6,4,2,0,0.0,"6,9,10,11","2,5,6,7","[(2, 5, 6, 7)]",[]
9,sgreedy,6,4,2,1,0.5,"4,11","0,7","[(0, 7)]",[9.801556334377699e-17]
