All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 7.33583512524226843964925
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 8.04022135076233013251112
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 7.12530457227327573832554
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 7.43651865411035384312299
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 4.86585326374944138194678
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 7.78628731548321972866233
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 7.80351737510307597034398
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 7.12230746233948419643411
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 7.85720934626805167511066
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 4.75122831677586265897162
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 7.30034749399449012230434
Subset: (0, 2), P-Value: 0.00000000506335257392268, Loss: 6.45359700543348679957489
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 6.74142969068765562923318
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 4.67892762126470618255780
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 7.13575620644914465628972
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 7.11100600270508031996997
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 6.49121816444774157872644
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 7.15970020272476581624232
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 4.49506678970954709484431
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 7.12204982057870061851190
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 7.43348754152790469618139
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 4.86571616277406171491293
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 7.78558814117744457661274
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 7.80088141836122073158322
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 7.11845837999031250120652
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 7.84345566492625767551772
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 4.73049555168499846757868
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 6.71375520600107655866395
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 4.62906931521805464768704
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 6.96675255315745722839438
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 6.79779491608381469802680
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 6.40408086405844123589759
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 6.93366389322572373998810
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 4.15542893037687122159696
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 4.05025020281475001127092
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 7.19207789997385571467703
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 7.32234567626065846468464
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 6.81448175357494534409852
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 7.14474606701111003559390
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 4.16184406150242125477234
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 4.20509227247011008188338
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 3.65907417166091830651453
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 3.10164689507249358157992
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 3.79264990288600856160883
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 2.84617098470852480929238
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 7.35331796501413226252453
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 6.21848085911650905188708
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 7.24288686680500681802641
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 3.97865279341549049618720
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 7.11533942393660812086864
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 7.71887357247931671366814
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 4.53215705514876354698117
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 7.08486453022438755766643
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 4.71283462335201352999547
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 4.73722195821475899890629
Subset: (0, 1, 2), P-Value: 0.00000000042831156847031, Loss: 6.41831682602163322570732
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 6.64038867943030020057904
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 4.65843205201551402439009
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 7.09118255395579932809369
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 7.07177135227327902100569
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 6.46023220214185034393495
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 7.14202695248891128443347
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 4.49494208043620258052897
Subset: (0, 2, 3), P-Value: 0.00000005251062082648887, Loss: 6.04924265637558900010617
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 4.42253025128171994850845
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 6.33757553705676723865281
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 6.14580230210993416761767
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 5.79554342113202913822079
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 6.27287545990623396363617
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 3.90176950337393790846363
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 3.88386589131333170854532
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 6.55260737300508289138179
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 6.63729091170699891932827
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 6.18106058337107189259996
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 6.46444912393024662122798
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.91256421016526800826796
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 4.08186044589362051482340
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.55424980968399406577873
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 3.01144348789254756582068
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 3.68096387497560328938562
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 2.79053314802210028489071
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 6.74536512625469431014835
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.72567788810223454731840
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 6.65370409869418288906218
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 3.81197039433802453700650
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 6.48385862186760597580815
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 7.03069639804177803910079
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.31396922722764575297560
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 6.45452680178955962020382
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.44894016797626701276158
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.47849422203365055139557
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 6.71215110995799335569245
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 4.62898778252756137874258
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 6.96593130273741589775227
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 6.79591732815379678811496
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 6.40083300227285878492012
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 6.92105466675271507881462
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 4.13703865626423095136488
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 4.02479192899291859930599
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 7.18386161258812627750103
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 7.31946057281335527022748
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 6.81402636536736761030397
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 7.14548764371942723983011
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 4.16134210956559691396706
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 4.20409362014595178180798
Subset: (1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.65622143125096243920780
