All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 5.21630438790070805055166
Subset: (1, 4, 7), P-Value: 0.00000000000000000000000, Loss: 3.09451644576065598712944
Subset: (1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 2.44121134600493538968635
Subset: (1, 4, 9), P-Value: 0.00000000000000000000000, Loss: 2.33034993699908454800607
Subset: (1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 5.35049666579772598140607
Subset: (1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.92528223077838944732321
Subset: (1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 5.12544745429259229752006
Subset: (1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 4.37023380649072201720173
Subset: (1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 7.13700645818861989511106
Subset: (1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 4.87932483655296334035256
Subset: (1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.24099896454508762388969
Subset: (1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 5.04255832074131848941079
Subset: (1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.00114840742395561079547
Subset: (1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.35537111409322097443919
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 3.83972278969475055987459
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 5.55373677787637642921936
Subset: (2, 3, 6), P-Value: 0.00000000000666806270110, Loss: 6.87674902901424278667264
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 6.37934923580083168559440
Subset: (2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 5.14384118484536401183504
Subset: (2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 4.24272299435023825253666
Subset: (2, 4, 5), P-Value: 0.00000000000000000000000, Loss: 2.23388209144771687775233
Subset: (2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.44720799977718783679848
Subset: (2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 2.93834390733105310644646
Subset: (2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 2.40818242486556721715374
Subset: (2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 2.27535326614717892113049
Subset: (2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 4.97950387468352761999313
Subset: (2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.62469448420058881765726
Subset: (2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 4.97355133115786784969714
Subset: (2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 4.24066411208787030773237
Subset: (2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 6.52953524751687020000190
Subset: (2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 4.66300003949281727244625
Subset: (2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.04386320143849165020811
Subset: (2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 4.91090900901229865382902
Subset: (2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.93527774922398165813320
Subset: (2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.23647577462399649306235
Subset: (3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 2.28366032483829517474305
Subset: (3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.61774528800497296998628
Subset: (3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 3.08498550975001073481963
Subset: (3, 4, 8), P-Value: 0.00000000000000000000000, Loss: 2.26944579676807833834573
Subset: (3, 4, 9), P-Value: 0.00000000000000000000000, Loss: 2.05163247498206358088169
Subset: (3, 5, 6), P-Value: 0.00000000000000000000000, Loss: 5.40350387788931918464641
Subset: (3, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.86686089558911483266002
Subset: (3, 5, 8), P-Value: 0.00000000000000000000000, Loss: 5.19656688722195436724860
Subset: (3, 5, 9), P-Value: 0.00000000000000000000000, Loss: 4.41876459790051256959487
Subset: (3, 6, 7), P-Value: 0.00000000000000000000000, Loss: 7.03977890043972553968388
Subset: (3, 6, 8), P-Value: 0.00000000000000000000000, Loss: 4.92564309209886275198187
Subset: (3, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.18803521799491118571268
Subset: (3, 7, 8), P-Value: 0.00000000000000000000000, Loss: 5.12516980647327180520278
Subset: (3, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.03362205235611170905941
Subset: (3, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.37536985594533511800819
Subset: (4, 5, 6), P-Value: 0.00000000000000000000000, Loss: 2.32391523191799276304437
Subset: (4, 5, 7), P-Value: 0.00000000000000000000000, Loss: 2.04640258390860463322269
Subset: (4, 5, 8), P-Value: 0.00000000000000000000000, Loss: 2.01201502420115652114418
Subset: (4, 5, 9), P-Value: 0.00000000000000000000000, Loss: 1.98176991727030382683949
Subset: (4, 6, 7), P-Value: 0.00000000000000000000000, Loss: 2.82370246017957438056101
Subset: (4, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.48820506529389984251566
Subset: (4, 6, 9), P-Value: 0.00000000000000000000000, Loss: 2.34733018857870012752187
Subset: (4, 7, 8), P-Value: 0.00000000000000000000000, Loss: 1.93670118190718887341006
Subset: (4, 7, 9), P-Value: 0.00000000000000000000000, Loss: 1.69997079043134413645078
Subset: (4, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.20856533387188935790846
Subset: (5, 6, 7), P-Value: 0.00000000000000000000000, Loss: 5.32553334480465156985929
Subset: (5, 6, 8), P-Value: 0.00000000000000000000000, Loss: 4.32777453079169749372568
Subset: (5, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.03772837753937352545108
Subset: (5, 7, 8), P-Value: 0.00000000000000000000000, Loss: 5.04309802401917117720132
Subset: (5, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.12233101428705772661942
Subset: (5, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.42259366152591404386385
Subset: (6, 7, 8), P-Value: 0.00000000000000000000000, Loss: 4.58371295889032293047194
Subset: (6, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.81195123721506057279385
Subset: (6, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.13929568782945356275604
Subset: (7, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.09639689610934620844773
Subset: (0, 1, 2, 3), P-Value: 0.06029420931733934369001, Loss: 4.24381516246847212414650
Subset: (0, 1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 2.76623003742579376407207
Subset: (0, 1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 3.77800892424901846311514
Subset: (0, 1, 2, 6), P-Value: 0.06448514360889798235910, Loss: 4.40306726879134480157063
Subset: (0, 1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 4.17662909367293444518054
Subset: (0, 1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 3.59328570619936549235263
Subset: (0, 1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 3.09361948442099654599247
Subset: (0, 1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 3.20336099367184612418669
Subset: (0, 1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 4.10376809051211832723993
Subset: (0, 1, 3, 6), P-Value: 0.00000000000000003567447, Loss: 5.02082059176456407811884
Subset: (0, 1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 4.70478372317481863262856
Subset: (0, 1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 3.95099262891137836817279
Subset: (0, 1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.41342805527146841981789
Subset: (0, 1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 1.87745867295419688325353
Subset: (0, 1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 2.77990006418154012024502
Subset: (0, 1, 4, 7), P-Value: 0.00000000000000000000000, Loss: 2.48434166322209293298329
Subset: (0, 1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 2.05734089968343303311826
Subset: (0, 1, 4, 9), P-Value: 0.00000000000000000000000, Loss: 1.97191334136887674866045
Subset: (0, 1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 3.94598133025587705091652
Subset: (0, 1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 4.18906073224667174770275
Subset: (0, 1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 3.80831948401818864979873
Subset: (0, 1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 3.36843201526414759428008
Subset: (0, 1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.85036728646199843950626
Subset: (0, 1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 3.76567272041938139182093
Subset: (0, 1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.34020254927480086948322
Subset: (0, 1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.78193728570988074721981
Subset: (0, 1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.14234248492658085893936
Subset: (0, 1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.37949739288529116265636
Subset: (0, 2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 2.76724961410082137547306
Subset: (0, 2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 3.65795059432586899816897
Subset: (0, 2, 3, 6), P-Value: 0.00529464682837574480978, Loss: 4.25535924722070557635334
Subset: (0, 2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 4.04762969331477329149038
Subset: (0, 2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 3.58159611210904671452226
Subset: (0, 2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.09632973308074088691910
Subset: (0, 2, 4, 5), P-Value: 0.00000000000000000000000, Loss: 1.74572215829408228238151
Subset: (0, 2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 2.51445427027045376178194
Subset: (0, 2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 2.22025076446100744220757
Subset: (0, 2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 1.92969422997107131756422
Subset: (0, 2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 1.81803792460811419751110
Subset: (0, 2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 3.43361286646241659070711
Subset: (0, 2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 3.73164414342262906743031
Subset: (0, 2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 3.47925736268243257498511
Subset: (0, 2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 3.07259166153055485182222
