All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 5.30603850343671457068240
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 5.31736487588161654826990
Subset: (2,), P-Value: 0.00442104918815300947793, Loss: 4.40680725203540557544102
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 5.31623176617442982916373
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 2.94488196774540611500015
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 5.23452041118030653166215
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 4.97258611011667195356267
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 2.57616757242974836472627
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 2.91726005853246617149921
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 2.86072623239293610808431
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 5.30702291435925754825575
Subset: (0, 2), P-Value: 0.00208736484151310396420, Loss: 4.40987637425693357329237
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 5.30492593274323898100420
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 2.89503019297992381098084
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 5.23176420185708401788816
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 4.97309326520544736638385
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 2.57688759957122659471906
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 2.91885086804490390122169
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 2.85815527760622734021467
Subset: (1, 2), P-Value: 0.00277608957157172856270, Loss: 4.39346620628059980617763
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 5.31479598387491947164563
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 2.92070367339593994771008
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 5.23488072106618229639707
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 4.96684132405116685049506
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 2.57226184746930996993797
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 2.90753406489282317792799
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 2.83910576597164787671090
Subset: (2, 3), P-Value: 0.22212301327096273251271, Loss: 4.36430304924582213033091
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 2.71456769890267057832034
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 4.36812435968866363822372
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 4.08872860140736094081149
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 2.40933407138158317550847
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 2.61972160540315313070892
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 2.67685829058376434375077
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 2.55636841039931184127454
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 5.23467197362708969166079
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 4.93288434829830979566623
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 2.57612943112267478440458
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 2.91358959500570335876546
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 2.80564955784577962916160
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 2.47013577471499257143250
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 2.44893505564468982882431
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 1.54644404189033490837346
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 1.55014730490213836766600
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 1.45763102001688871212082
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 4.97137877730106847451452
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 2.57409388857537413386467
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 2.76745324835880923686204
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 2.14065426095048749743910
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 2.57434891630027751219245
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 2.89019958575006219447801
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 2.85876348847014316589821
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 2.07533356946095670636510
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 2.04541025977522616940973
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 2.33453666066814458091017
Subset: (0, 1, 2), P-Value: 0.00090700739553674781645, Loss: 4.39751610777333556967506
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 5.30474194884195604515753
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 2.85998075429704678995790
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 5.23224721221120692149498
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 4.96829515665515319966516
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 2.57300727743429336058512
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 2.90883352073999956743933
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 2.83850445180178789783554
Subset: (0, 2, 3), P-Value: 0.12861187925595282677271, Loss: 4.36723832477813278529766
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 2.68948591310933515785564
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 4.37223557885365554653845
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 4.08877911812109040567975
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 2.40874255015792515521866
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 2.61978633558653672963601
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 2.66982755002393279397666
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 2.49629772646326131280148
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 5.23188669424226837634251
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 4.93479613302356501236545
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 2.57685467611510565788535
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 2.91529470745075425242021
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 2.80259915139595250366256
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 2.45311260875598602382297
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 2.43100620437396752748782
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 1.53691253700275498594863
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 1.53834190001839399286609
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 1.45561156323746754281956
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 4.97228158722445012784874
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 2.57481660480495788689836
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 2.76588129873928956214968
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 2.14132189998157151933356
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 2.57509482762011820966563
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.89136475470040643642733
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 2.85670569191952772314380
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 2.07509377928099425503206
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 2.04110564415466022580858
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.33158777946346740250760
Subset: (1, 2, 3), P-Value: 0.68095981105733083271758, Loss: 4.32061532632905986872629
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 2.70753318064760328809371
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 4.35907869209064813276200
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 4.05990766598739316606270
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 2.40921553992901760210543
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 2.61885117651756438306165
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 2.66977800758873140551941
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 2.55465086058421997350365
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 5.23473616747190639841847
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 4.93284628522288226548653
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 2.57204958844769260295493
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 2.89667958213224308039457
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 2.80040548086201557254071
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 2.40542585107804818278510
Subset: (1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 2.43920645261345070409220
