All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 7.11876744870180733215648
Subset: (1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 4.78238217415573707569365
Subset: (1, 4, 7), P-Value: 0.00000000000000000000000, Loss: 6.36168137728876548209200
Subset: (1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 3.28018891900917974879803
Subset: (1, 4, 9), P-Value: 0.00000000000000000000000, Loss: 4.42584032296457952071478
Subset: (1, 4, 10), P-Value: 0.00000000000000000000003, Loss: 0.73562124911268189642044
Subset: (1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 0.61238193668086315923915
Subset: (1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 0.56383623983964392678558
Subset: (1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.58449268843038904019949
Subset: (1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.61339966318308158932382
Subset: (1, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.56904336639199182279469
Subset: (1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.98047622661499911345118
Subset: (1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.73732796773213360452814
Subset: (1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.33724393087641768573803
Subset: (1, 6, 10), P-Value: 0.00000000000000000000000, Loss: 1.01478965202591164818102
Subset: (1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.33347525049360493554218
Subset: (1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.44643882846538662789726
Subset: (1, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.95410361170767099547874
Subset: (1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.77124697324317281754702
Subset: (1, 8, 10), P-Value: 0.00000000000000000000000, Loss: 1.01710149417740169930369
Subset: (1, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.05867741581708640907777
