leave_out_task,n_tasks,method,loss,selected_features,split
"(98058,)",10,polynomial 2,146.30796376024378,,
"(98155,)",10,polynomial 2,114.45222349689038,,
"(98074,)",10,polynomial 2,173.94366600429345,,
training_set,10,polynomial 2,151.8391948188143,,train
"(98133,)",10,shat-poly,95.6425850035725,"['bedrooms', 'bathrooms', 'view', 'sqft_above', 'sqft_basement', 'waterfront']",
"(98059,)",10,shat-poly,118.87349129087036,"['bedrooms', 'bathrooms', 'view', 'sqft_above', 'sqft_basement', 'waterfront']",
"(98058,)",10,shat-poly,182.8326605496944,"['bedrooms', 'bathrooms', 'view', 'sqft_above', 'sqft_basement', 'waterfront']",
"(98155,)",10,shat-poly,172.54822638139967,"['bedrooms', 'bathrooms', 'view', 'sqft_above', 'sqft_basement', 'waterfront']",
"(98074,)",10,shat-poly,199.81130660998556,"['bedrooms', 'bathrooms', 'view', 'sqft_above', 'sqft_basement', 'waterfront']",
training_set,10,shat-poly,187.5503817181419,,train
"(98133,)",10,sgreedy-poly,103.1645797758456,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'sqft_living15', 'sqft_lot15']",
"(98059,)",10,sgreedy-poly,120.75184378898584,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'sqft_living15', 'sqft_lot15']",
"(98058,)",10,sgreedy-poly,194.01429855523926,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'sqft_living15', 'sqft_lot15']",
"(98155,)",10,sgreedy-poly,176.05779226917923,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'sqft_living15', 'sqft_lot15']",
"(98074,)",10,sgreedy-poly,189.66485344902708,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'condition', 'grade', 'sqft_living15', 'sqft_lot15']",
training_set,10,sgreedy-poly,181.97073656246573,,train
"(98133,)",10,Pooling_GAM,115.63496079422208,,
"(98059,)",10,Pooling_GAM,106.3731390919774,,
"(98058,)",10,Pooling_GAM,138.5296236795483,,
"(98155,)",10,Pooling_GAM,171.75589010731923,,
"(98074,)",10,Pooling_GAM,147.1254306814699,,
training_set,10,Pooling_GAM,152.33337070384303,,train
"(98133,)",10,shat-gam,171.55186497360816,['waterfront'],
"(98059,)",10,shat-gam,235.9196814801539,['waterfront'],
"(98058,)",10,shat-gam,211.09442675924055,['waterfront'],
"(98155,)",10,shat-gam,287.8859511432609,['waterfront'],
"(98074,)",10,shat-gam,316.6531607307225,['waterfront'],
training_set,10,shat-gam,286.99916141362405,,train
"(98133,)",10,sgreedy-gam,160.93161907621135,"['bedrooms', 'sqft_living', 'sqft_lot', 'floors', 'sqft_above', 'sqft_living15', 'house_age', 'renovation_age']",
"(98059,)",10,sgreedy-gam,344.51019189358277,"['bedrooms', 'sqft_living', 'sqft_lot', 'floors', 'sqft_above', 'sqft_living15', 'house_age', 'renovation_age']",
"(98058,)",10,sgreedy-gam,238.71163644732542,"['bedrooms', 'sqft_living', 'sqft_lot', 'floors', 'sqft_above', 'sqft_living15', 'house_age', 'renovation_age']",
"(98155,)",10,sgreedy-gam,313.4429734036941,"['bedrooms', 'sqft_living', 'sqft_lot', 'floors', 'sqft_above', 'sqft_living15', 'house_age', 'renovation_age']",
"(98074,)",10,sgreedy-gam,387.36557815818225,"['bedrooms', 'sqft_living', 'sqft_lot', 'floors', 'sqft_above', 'sqft_living15', 'house_age', 'renovation_age']",
training_set,10,sgreedy-gam,360.1273994276373,,train
