leave_out_task,n_tasks,method,loss,selected_features,split
"(98118,)",8,pooling,109.23472099593205,,
"(98133,)",8,pooling,165.4538253964697,,
"(98058,)",8,pooling,77.51241685042652,,
"(98155,)",8,pooling,176.78084423791094,,
"(98059,)",8,pooling,75.02132394586559,,
"(98074,)",8,pooling,91.77891795669589,,
"(98006,)",8,pooling,144.22664514422564,,
training_set,8,pooling,90.3839926809433,,train
"(98118,)",8,random_forest,180.5107750833546,,
"(98133,)",8,random_forest,110.19098898225677,,
"(98058,)",8,random_forest,126.85893283443752,,
"(98155,)",8,random_forest,113.72898849724871,,
"(98059,)",8,random_forest,93.29923874379993,,
"(98074,)",8,random_forest,72.24107477134517,,
"(98006,)",8,random_forest,98.98069585390384,,
training_set,8,random_forest,27.64877883184012,,train
"(98118,)",8,lightGBM,155.2264862490456,,
"(98133,)",8,lightGBM,89.13240465175102,,
"(98058,)",8,lightGBM,152.30123823403542,,
"(98155,)",8,lightGBM,96.57892514333793,,
"(98059,)",8,lightGBM,119.7201206750083,,
"(98074,)",8,lightGBM,77.64149115759602,,
"(98006,)",8,lightGBM,118.06539337607346,,
training_set,8,lightGBM,45.18213472355186,,train
"(98118,)",8,polynomial 2,6903.469699095479,,
"(98133,)",8,polynomial 2,110.61035788688288,,
"(98058,)",8,polynomial 2,127.57904901192205,,
"(98155,)",8,polynomial 2,93.82252963065925,,
"(98059,)",8,polynomial 2,123.4364865394184,,
"(98074,)",8,polynomial 2,104.60710286155584,,
"(98006,)",8,polynomial 2,97.89813376815664,,
training_set,8,polynomial 2,75.07644150272114,,train
"(98118,)",8,shat,139.69787865149488,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98133,)",8,shat,113.08156206828876,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98058,)",8,shat,134.92898632006055,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98155,)",8,shat,109.98296424299797,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98059,)",8,shat,112.83456040102018,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98074,)",8,shat,150.17990118710938,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98006,)",8,shat,152.34601615831815,"['sqft_living', 'sqft_lot', 'sqft_basement']",
training_set,8,shat,136.7602905282908,,train
"(98118,)",8,sgreedy,171.15935306404313,['waterfront'],
"(98133,)",8,sgreedy,127.72508329703447,['waterfront'],
"(98058,)",8,sgreedy,158.8747252238147,['waterfront'],
"(98155,)",8,sgreedy,140.06490392339956,['waterfront'],
"(98059,)",8,sgreedy,143.42586395656957,['waterfront'],
"(98074,)",8,sgreedy,224.80028261065598,['waterfront'],
"(98006,)",8,sgreedy,254.69521709713467,['waterfront'],
training_set,8,sgreedy,179.5336027725564,,train
"(98118,)",8,mean,171.6144169621597,,
"(98133,)",8,mean,127.74784984273016,,
"(98058,)",8,mean,158.90213923665047,,
"(98155,)",8,mean,140.0822106453164,,
"(98059,)",8,mean,143.43134837833878,,
"(98074,)",8,mean,224.77306837072905,,
"(98006,)",8,mean,254.66741977583916,,
training_set,8,mean,179.5391197876785,,train
