leave_out_task,n_tasks,method,loss,selected_features,split
"(98023,)",7,pooling,107.60339424751174,,
"(98118,)",7,pooling,111.63351494758362,,
"(98133,)",7,pooling,168.82503275125865,,
"(98058,)",7,pooling,87.6705046457668,,
"(98155,)",7,pooling,175.8952559287208,,
"(98059,)",7,pooling,75.03728337650773,,
"(98074,)",7,pooling,94.95949426263913,,
"(98006,)",7,pooling,137.21583546277287,,
training_set,7,pooling,91.95554438026139,,train
"(98023,)",7,random_forest,121.24157854983993,,
"(98118,)",7,random_forest,190.65639363674376,,
"(98133,)",7,random_forest,115.47739586807188,,
"(98058,)",7,random_forest,120.37550491697793,,
"(98155,)",7,random_forest,119.71374312405345,,
"(98059,)",7,random_forest,86.34809699925005,,
"(98074,)",7,random_forest,75.15658945978248,,
"(98006,)",7,random_forest,99.60058547356563,,
training_set,7,random_forest,28.614992895160615,,train
"(98023,)",7,lightGBM,64.80949421446607,,
"(98118,)",7,lightGBM,164.02918020966396,,
"(98133,)",7,lightGBM,88.38640275984358,,
"(98058,)",7,lightGBM,148.05428123898417,,
"(98155,)",7,lightGBM,101.12509013550567,,
"(98059,)",7,lightGBM,122.42308079222765,,
"(98074,)",7,lightGBM,76.36381302381037,,
"(98006,)",7,lightGBM,118.10341249298374,,
training_set,7,lightGBM,45.938260031710186,,train
"(98023,)",7,polynomial 2,381453.8593072289,,
"(98118,)",7,polynomial 2,304741.82849478035,,
"(98133,)",7,polynomial 2,104.8424235107598,,
"(98058,)",7,polynomial 2,145.19257536865527,,
"(98155,)",7,polynomial 2,87.55443880210082,,
"(98059,)",7,polynomial 2,144.63969409036554,,
"(98074,)",7,polynomial 2,99.06191676540716,,
"(98006,)",7,polynomial 2,97.80292013010298,,
training_set,7,polynomial 2,77.25103910780896,,train
"(98023,)",7,shat,221.2113474361761,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98118,)",7,shat,146.71335885598114,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98133,)",7,shat,123.99205548010325,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98058,)",7,shat,156.6681761898136,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98155,)",7,shat,120.94417424169608,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98059,)",7,shat,112.89605577912543,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98074,)",7,shat,137.45564363840649,"['sqft_living', 'sqft_lot', 'sqft_basement']",
"(98006,)",7,shat,135.34811665274592,"['sqft_living', 'sqft_lot', 'sqft_basement']",
training_set,7,shat,124.62526521844714,,train
"(98023,)",7,sgreedy,291.1629621815591,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98118,)",7,sgreedy,143.70259747121133,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98133,)",7,sgreedy,155.11628878728794,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98058,)",7,sgreedy,142.23918618834628,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98155,)",7,sgreedy,141.67344269644974,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98059,)",7,sgreedy,103.13620097022729,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98074,)",7,sgreedy,152.33974034086165,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
"(98006,)",7,sgreedy,144.8827393724006,"['bedrooms', 'condition', 'grade', 'yr_built', 'long']",
training_set,7,sgreedy,118.35879914217097,,train
"(98023,)",7,mean,225.5585185662314,,
"(98118,)",7,mean,182.4538982884895,,
"(98133,)",7,mean,143.4961882258354,,
"(98058,)",7,mean,177.11378963268893,,
"(98155,)",7,mean,152.5680845938947,,
"(98059,)",7,mean,148.7828898359411,,
"(98074,)",7,mean,208.02532011533845,,
"(98006,)",7,mean,237.44291232201402,,
training_set,7,mean,174.50175405296469,,train
