leave_out_task,n_tasks,method,loss,selected_features,split
"(98029,)",10,shat,136.248244350486,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98004,)",10,shat,863.0352333615864,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98199,)",10,shat,272.7087934014861,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98065,)",10,shat,143.6366166382539,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98122,)",10,shat,191.1838618753289,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98146,)",10,shat,147.85603042941955,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98008,)",10,shat,292.90882640655593,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98028,)",10,shat,129.21834342237472,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98040,)",10,shat,587.5603418156143,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98003,)",10,shat,244.0496154846971,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98198,)",10,shat,225.082532020395,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98031,)",10,shat,186.07822530925554,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98072,)",10,shat,139.8911219439018,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98112,)",10,shat,571.6240349129035,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98168,)",10,shat,144.72363721649597,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98055,)",10,shat,181.45874400352795,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98107,)",10,shat,195.09040272759552,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98136,)",10,shat,170.95941155057278,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98178,)",10,shat,214.4606457666689,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98030,)",10,shat,180.33951979772877,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98177,)",10,shat,270.7648747078839,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98166,)",10,shat,214.58803905378738,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98022,)",10,shat,214.43261437615928,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98105,)",10,shat,357.58980648366963,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98045,)",10,shat,148.60100963929628,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98002,)",10,shat,159.24394702704413,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98077,)",10,shat,160.77711627484976,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98011,)",10,shat,118.37221493894965,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98019,)",10,shat,118.75139271008669,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98108,)",10,shat,143.22885991322923,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98119,)",10,shat,326.5244896733542,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98005,)",10,shat,237.86554226203364,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98007,)",10,shat,111.41339705124746,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98188,)",10,shat,182.87112324292218,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98032,)",10,shat,228.6100513743125,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98014,)",10,shat,215.78126664485927,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98070,)",10,shat,229.88985448373214,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98109,)",10,shat,366.05884229609757,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98102,)",10,shat,651.2467388863413,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98010,)",10,shat,159.00946177389554,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98024,)",10,shat,310.5672975081018,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98148,)",10,shat,164.22379513089498,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98039,)",10,shat,1619.350057403521,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
training_set,10,shat,194.87240491855442,,train
"(98133,)",10,sgreedy,112.82157138107577,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98059,)",10,sgreedy,138.81656153810118,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98058,)",10,sgreedy,179.09638615501393,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98155,)",10,sgreedy,200.33264062674795,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98074,)",10,sgreedy,203.77086866366147,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98033,)",10,sgreedy,375.1278722015862,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98027,)",10,sgreedy,180.9865777173733,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98125,)",10,sgreedy,151.3907405104994,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98056,)",10,sgreedy,175.63295746086166,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98053,)",10,sgreedy,186.61049475474306,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98001,)",10,sgreedy,185.76154678881528,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98075,)",10,sgreedy,219.06819329821158,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98126,)",10,sgreedy,144.10879760569432,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98092,)",10,sgreedy,211.92049398420684,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98144,)",10,sgreedy,234.7220098425635,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98106,)",10,sgreedy,133.04083083468393,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98116,)",10,sgreedy,143.72862678105017,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98029,)",10,sgreedy,138.9170950299383,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98004,)",10,sgreedy,858.199485514045,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98199,)",10,sgreedy,272.7246888325035,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98065,)",10,sgreedy,143.60204388243702,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98122,)",10,sgreedy,191.0545173948821,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98146,)",10,sgreedy,144.2068762213917,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98008,)",10,sgreedy,290.8528220151323,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98028,)",10,sgreedy,131.72326433785386,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98040,)",10,sgreedy,585.5189738461288,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98003,)",10,sgreedy,243.6113957220294,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98198,)",10,sgreedy,225.44619187324523,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98031,)",10,sgreedy,184.4587661854222,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98072,)",10,sgreedy,137.36955584765528,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98112,)",10,sgreedy,567.9996178117598,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98168,)",10,sgreedy,143.23102673372117,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98055,)",10,sgreedy,180.58549250270724,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98107,)",10,sgreedy,195.86719184522173,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98136,)",10,sgreedy,170.01404559071756,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98178,)",10,sgreedy,211.27652388168497,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98030,)",10,sgreedy,177.00287068492747,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98177,)",10,sgreedy,267.9612930895574,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98166,)",10,sgreedy,213.88406962987787,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98022,)",10,sgreedy,213.0429994301904,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98105,)",10,sgreedy,359.3467589964308,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98045,)",10,sgreedy,146.43902381146557,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98002,)",10,sgreedy,155.09358503496392,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98077,)",10,sgreedy,156.195609256982,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98011,)",10,sgreedy,120.4662347422626,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98019,)",10,sgreedy,114.99452742794911,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98108,)",10,sgreedy,139.5455978648279,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98119,)",10,sgreedy,330.44826153461054,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98005,)",10,sgreedy,235.42917474302425,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98007,)",10,sgreedy,116.2598786860733,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98188,)",10,sgreedy,179.6046424341015,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98032,)",10,sgreedy,223.19180773707055,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98014,)",10,sgreedy,209.1214478360614,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98070,)",10,sgreedy,221.27951135660527,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98109,)",10,sgreedy,368.8056670587683,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98102,)",10,sgreedy,654.3257620389408,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98010,)",10,sgreedy,149.0789796374024,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98024,)",10,sgreedy,298.67578429490993,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98148,)",10,sgreedy,162.95662825581306,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98039,)",10,sgreedy,1609.4740524478657,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
training_set,10,sgreedy,194.81165220326733,,train
"(98133,)",10,random_forest,106.86043482897648,,
"(98059,)",10,random_forest,101.435488121195,,
"(98058,)",10,random_forest,133.47352291077252,,
"(98155,)",10,random_forest,148.42653666397996,,
"(98074,)",10,random_forest,153.82852609855468,,
"(98033,)",10,random_forest,323.7079746384154,,
"(98027,)",10,random_forest,130.60010138841167,,
"(98125,)",10,random_forest,126.97394079207629,,
"(98056,)",10,random_forest,136.75294978512454,,
"(98053,)",10,random_forest,170.8035822367894,,
"(98001,)",10,random_forest,160.02604619140732,,
"(98075,)",10,random_forest,179.27318456342616,,
"(98126,)",10,random_forest,106.74022911264262,,
"(98092,)",10,random_forest,175.64164420752294,,
"(98144,)",10,random_forest,204.86580148948445,,
"(98106,)",10,random_forest,139.2149803883632,,
"(98116,)",10,random_forest,111.81284757876979,,
"(98029,)",10,random_forest,133.0176517132295,,
"(98004,)",10,random_forest,748.8148071436166,,
"(98199,)",10,random_forest,253.59824124681367,,
"(98065,)",10,random_forest,155.21782467393317,,
"(98122,)",10,random_forest,188.716776529249,,
"(98146,)",10,random_forest,132.35842368156204,,
"(98008,)",10,random_forest,222.70033879802267,,
"(98028,)",10,random_forest,105.45351509325461,,
"(98040,)",10,random_forest,478.5224046357128,,
"(98003,)",10,random_forest,181.0889798590493,,
"(98198,)",10,random_forest,181.24051133001913,,
"(98031,)",10,random_forest,131.30870798271525,,
"(98072,)",10,random_forest,123.61248853312925,,
"(98112,)",10,random_forest,498.24150577208235,,
"(98168,)",10,random_forest,153.56063829225732,,
"(98055,)",10,random_forest,154.25694051033688,,
"(98107,)",10,random_forest,150.62658682838398,,
"(98136,)",10,random_forest,120.52983390576271,,
"(98178,)",10,random_forest,181.6191231502708,,
"(98030,)",10,random_forest,132.9735777636375,,
"(98177,)",10,random_forest,215.66772774216398,,
"(98166,)",10,random_forest,174.05549352719962,,
"(98022,)",10,random_forest,169.44315584086914,,
"(98105,)",10,random_forest,298.28413186321916,,
"(98045,)",10,random_forest,110.37352430675384,,
"(98002,)",10,random_forest,165.72627838938845,,
"(98077,)",10,random_forest,112.03541024542467,,
"(98011,)",10,random_forest,105.07864415396425,,
"(98019,)",10,random_forest,96.87625828133936,,
"(98108,)",10,random_forest,146.94559303133366,,
"(98119,)",10,random_forest,320.9471175353114,,
"(98005,)",10,random_forest,223.49671342507273,,
"(98007,)",10,random_forest,121.47351159338419,,
"(98188,)",10,random_forest,168.95687612297445,,
"(98032,)",10,random_forest,179.2859885338415,,
"(98014,)",10,random_forest,121.82524602165226,,
"(98070,)",10,random_forest,126.69359143096284,,
"(98109,)",10,random_forest,347.61417638851174,,
"(98102,)",10,random_forest,577.8564621193505,,
"(98010,)",10,random_forest,137.01369786082049,,
"(98024,)",10,random_forest,157.3739891156961,,
"(98148,)",10,random_forest,137.75025248497735,,
"(98039,)",10,random_forest,1310.5540628915257,,
training_set,10,random_forest,57.09730116922656,,train
"(98133,)",10,shat-rf,147.91398866322447,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98059,)",10,shat-rf,210.76108816941277,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98058,)",10,shat-rf,226.22879796654465,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98155,)",10,shat-rf,232.04277672161152,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98074,)",10,shat-rf,244.46508675794018,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98033,)",10,shat-rf,397.393150723338,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98027,)",10,shat-rf,212.2635097801594,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98125,)",10,shat-rf,200.5094938794041,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98056,)",10,shat-rf,228.63847389869585,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98053,)",10,shat-rf,206.98221255556862,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98001,)",10,shat-rf,288.7484625327996,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98075,)",10,shat-rf,282.77296457701743,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98126,)",10,shat-rf,169.82975635614824,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98092,)",10,shat-rf,291.3590521899661,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98144,)",10,shat-rf,328.0875268105806,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98106,)",10,shat-rf,211.86016977862698,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98116,)",10,shat-rf,256.61512613008364,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98029,)",10,shat-rf,189.77773950334807,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98004,)",10,shat-rf,880.3120389590974,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98199,)",10,shat-rf,408.71453410053897,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98065,)",10,shat-rf,231.59170698464197,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98122,)",10,shat-rf,294.1388844204716,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98146,)",10,shat-rf,223.98187845016926,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98008,)",10,shat-rf,349.0096181656539,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98028,)",10,shat-rf,181.93296256772751,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98040,)",10,shat-rf,661.327162412058,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98003,)",10,shat-rf,270.9206556783169,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98198,)",10,shat-rf,226.38538125323487,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98031,)",10,shat-rf,296.08986883260985,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98072,)",10,shat-rf,182.6240847675922,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98112,)",10,shat-rf,664.2588521101267,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98168,)",10,shat-rf,213.9487713851958,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98055,)",10,shat-rf,266.70594251743915,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98107,)",10,shat-rf,223.52510108016023,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98136,)",10,shat-rf,224.83684877410153,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98178,)",10,shat-rf,218.66941306075702,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98030,)",10,shat-rf,302.40829130023053,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
"(98177,)",10,shat-rf,338.4762891753633,"['bathrooms', 'view', 'sqft_above', 'waterfront']",
