leave_out_task,n_tasks,method,loss,selected_features,split
"(98133,)",10,pooling,115.46498598557568,,
"(98059,)",10,pooling,136.88751947755182,,
"(98058,)",10,pooling,175.69501545781844,,
"(98155,)",10,pooling,166.54312351966757,,
"(98074,)",10,pooling,172.69374093548737,,
"(98033,)",10,pooling,352.7181893323914,,
"(98027,)",10,pooling,171.28007510758596,,
"(98125,)",10,pooling,129.6618276790686,,
"(98056,)",10,pooling,151.62923753142354,,
"(98053,)",10,pooling,193.41260777681737,,
"(98001,)",10,pooling,181.5621025965814,,
"(98075,)",10,pooling,175.0353436552638,,
"(98126,)",10,pooling,139.80900563669474,,
"(98092,)",10,pooling,206.84216060294486,,
"(98144,)",10,pooling,215.53093811886436,,
"(98106,)",10,pooling,135.08338196034063,,
"(98116,)",10,pooling,132.56157034490164,,
"(98029,)",10,pooling,134.8269240067624,,
"(98004,)",10,pooling,858.7840768993151,,
"(98199,)",10,pooling,271.32089380660875,,
"(98065,)",10,pooling,133.45836840851334,,
"(98122,)",10,pooling,189.6697787624285,,
"(98146,)",10,pooling,165.51596247099368,,
"(98008,)",10,pooling,215.56667424411467,,
"(98028,)",10,pooling,119.82386033263973,,
"(98040,)",10,pooling,527.3694008440393,,
"(98003,)",10,pooling,227.9543762671457,,
"(98198,)",10,pooling,253.3759824446406,,
"(98031,)",10,pooling,184.5876018143628,,
"(98072,)",10,pooling,138.38872174471769,,
"(98112,)",10,pooling,565.1374893573285,,
"(98168,)",10,pooling,140.88827496542783,,
"(98055,)",10,pooling,174.48230760404454,,
"(98107,)",10,pooling,196.61063236665385,,
"(98136,)",10,pooling,148.315993736223,,
"(98178,)",10,pooling,213.4314368892621,,
"(98030,)",10,pooling,175.86887263881155,,
"(98177,)",10,pooling,271.29049769476035,,
"(98166,)",10,pooling,227.22899633006904,,
"(98022,)",10,pooling,199.09837628645994,,
"(98105,)",10,pooling,328.784669826942,,
"(98045,)",10,pooling,142.6041825259879,,
"(98002,)",10,pooling,157.2521967597252,,
"(98077,)",10,pooling,159.5954286508972,,
"(98011,)",10,pooling,111.46197399025989,,
"(98019,)",10,pooling,120.68888029468832,,
"(98108,)",10,pooling,136.31422101022406,,
"(98119,)",10,pooling,337.35974381877304,,
"(98005,)",10,pooling,237.06679817845932,,
"(98007,)",10,pooling,115.28238084055921,,
"(98188,)",10,pooling,166.13455256019697,,
"(98032,)",10,pooling,223.83933810405637,,
"(98014,)",10,pooling,216.20821560631106,,
"(98070,)",10,pooling,362.35398784703386,,
"(98109,)",10,pooling,365.61858893027363,,
"(98102,)",10,pooling,650.9247281266017,,
"(98010,)",10,pooling,149.3405444732055,,
"(98024,)",10,pooling,314.96796874165295,,
"(98148,)",10,pooling,158.3457146629294,,
"(98039,)",10,pooling,1615.5554467003992,,
training_set,10,pooling,189.13097100670245,,train
"(98133,)",10,shat,115.70790841444952,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98059,)",10,shat,140.30710955341917,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98058,)",10,shat,179.1253376680889,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98155,)",10,shat,200.6489229679723,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98074,)",10,shat,205.33388887683085,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98033,)",10,shat,375.4867540383816,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98027,)",10,shat,182.36434429108772,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98125,)",10,shat,151.9668048846587,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98056,)",10,shat,175.8128180366945,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98053,)",10,shat,196.4626467451981,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98001,)",10,shat,187.6762874577956,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98075,)",10,shat,219.95000736499455,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98126,)",10,shat,143.91717547021264,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98092,)",10,shat,213.0059405441201,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98144,)",10,shat,235.28498962171778,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98106,)",10,shat,139.86261131598408,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
"(98116,)",10,shat,142.48595041046494,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'view', 'condition', 'sqft_above']",
