leave_out_task,n_tasks,method,loss,selected_features,split
training_set,10,shat-poly,313.1702225018092,,train
"(98133,)",10,sgreedy-poly,176.65927031163832,"['bedrooms', 'bathrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'waterfront']",
"(98059,)",10,sgreedy-poly,304.6314345475754,"['bedrooms', 'bathrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'waterfront']",
"(98058,)",10,sgreedy-poly,410.05761081839734,"['bedrooms', 'bathrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'waterfront']",
"(98155,)",10,sgreedy-poly,299.05743159819184,"['bedrooms', 'bathrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'waterfront']",
"(98074,)",10,sgreedy-poly,339.2051551732495,"['bedrooms', 'bathrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'waterfront']",
training_set,10,sgreedy-poly,336.8862681354268,,train
"(98133,)",10,Pooling_GAM,114.2986759246727,,
"(98059,)",10,Pooling_GAM,99.33885155193688,,
"(98058,)",10,Pooling_GAM,134.58035455868378,,
"(98155,)",10,Pooling_GAM,144.8203218901508,,
"(98074,)",10,Pooling_GAM,149.29586637222715,,
training_set,10,Pooling_GAM,152.45007166039,,train
"(98133,)",10,shat-gam,482.92478377416353,"['bedrooms', 'sqft_lot', 'view', 'condition', 'sqft_above', 'sqft_basement']",
"(98059,)",10,shat-gam,478.411390468469,"['bedrooms', 'sqft_lot', 'view', 'condition', 'sqft_above', 'sqft_basement']",
"(98058,)",10,shat-gam,502.5668478667964,"['bedrooms', 'sqft_lot', 'view', 'condition', 'sqft_above', 'sqft_basement']",
"(98155,)",10,shat-gam,555.282045204204,"['bedrooms', 'sqft_lot', 'view', 'condition', 'sqft_above', 'sqft_basement']",
"(98074,)",10,shat-gam,379.1545116798939,"['bedrooms', 'sqft_lot', 'view', 'condition', 'sqft_above', 'sqft_basement']",
training_set,10,shat-gam,526.3200867558928,,train
"(98133,)",10,sgreedy-gam,227.6034541083178,"['bedrooms', 'bathrooms', 'view', 'grade', 'sqft_basement', 'waterfront']",
"(98059,)",10,sgreedy-gam,321.6302082001596,"['bedrooms', 'bathrooms', 'view', 'grade', 'sqft_basement', 'waterfront']",
"(98058,)",10,sgreedy-gam,268.93067881106543,"['bedrooms', 'bathrooms', 'view', 'grade', 'sqft_basement', 'waterfront']",
"(98155,)",10,sgreedy-gam,375.6190966614171,"['bedrooms', 'bathrooms', 'view', 'grade', 'sqft_basement', 'waterfront']",
"(98074,)",10,sgreedy-gam,356.3045635552144,"['bedrooms', 'bathrooms', 'view', 'grade', 'sqft_basement', 'waterfront']",
training_set,10,sgreedy-gam,382.7179087563738,,train
