All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 43750.24449704155267681926489
Subset: (1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 45468.59060749861964723095298
Subset: (1, 4, 7), P-Value: 0.00000000000000000000000, Loss: 46246.24884271495830034837127
Subset: (1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 45952.62385419104248285293579
Subset: (1, 4, 9), P-Value: 0.00000000000000000000000, Loss: 46032.87455162528931396082044
Subset: (1, 4, 10), P-Value: 0.00000000000000000000000, Loss: 49836.41122725751483812928200
Subset: (1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 42465.38671832417458062991500
Subset: (1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 43563.21722266950382618233562
Subset: (1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 42318.57111794432421447709203
Subset: (1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 45341.82936647465976420789957
Subset: (1, 5, 10), P-Value: 0.00000000000000000000000, Loss: 43275.49119051435263827443123
Subset: (1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 49081.03737092548544751480222
Subset: (1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 50310.62950039207498775795102
Subset: (1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 49660.22368597071908880025148
Subset: (1, 6, 10), P-Value: 0.00000000000000000000000, Loss: 50028.54173752070346381515265
Subset: (1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 50531.46523782183794537559152
Subset: (1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 49193.71536295719852205365896
Subset: (1, 7, 10), P-Value: 0.00000000000000000000000, Loss: 50684.44906198291573673486710
Subset: (1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 50067.39084447472851024940610
Subset: (1, 8, 10), P-Value: 0.00000000000000000000000, Loss: 51313.15519691683584824204445
Subset: (1, 9, 10), P-Value: 0.00000000000000000000000, Loss: 55471.26308871916262432932854
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 62987.61017470080696512013674
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 54264.09588770794653100892901
Subset: (2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 57433.85922786123410332947969
